"planning_unit","solution"
670,0
669,1
668,0
667,0
666,0
665,0
664,0
663,0
662,1
661,0
660,0
659,1
658,1
657,0
656,1
655,1
654,0
653,1
652,0
651,0
650,1
649,0
648,0
647,0
646,0
645,0
644,0
643,0
642,0
641,0
640,0
639,1
638,1
637,1
636,0
635,1
634,0
633,0
632,1
631,0
630,0
629,0
628,0
627,0
626,1
625,0
624,1
623,1
622,0
621,0
620,0
619,1
618,1
617,1
616,1
615,1
614,1
613,1
612,1
611,1
610,1
609,1
608,0
607,1
606,1
605,1
604,1
603,0
602,1
601,1
600,0
599,1
598,1
597,1
596,1
595,1
594,1
593,1
592,1
591,1
590,1
589,0
588,0
587,0
586,0
585,0
584,0
583,0
582,1
581,1
580,1
579,1
578,0
577,0
576,1
575,1
574,0
573,0
572,1
571,0
570,0
569,0
568,0
567,0
566,0
565,0
564,0
563,0
562,0
561,0
560,0
559,1
558,0
557,0
556,0
555,0
554,0
553,0
552,0
551,0
550,0
549,1
548,1
547,1
546,1
545,0
544,1
543,1
542,1
541,0
540,0
539,0
538,0
537,0
536,0
535,0
534,1
533,0
532,1
531,0
530,0
529,0
528,1
527,1
526,1
525,0
524,0
523,0
522,0
521,0
520,0
519,1
518,1
517,0
516,1
515,1
514,0
513,0
512,0
511,0
510,0
509,0
508,0
507,0
506,1
505,1
504,1
503,1
502,1
501,1
500,0
499,0
498,1
497,1
496,1
495,1
494,0
493,1
492,0
491,1
490,0
489,1
488,1
487,1
486,1
485,1
484,0
483,1
482,1
481,0
480,0
479,1
478,1
477,1
476,0
475,1
474,0
473,1
472,1
471,0
470,1
469,0
468,1
467,0
466,1
465,1
464,0
463,1
462,1
461,1
460,0
459,0
458,0
457,0
456,0
455,0
454,0
453,0
452,0
451,0
450,0
449,0
448,1
447,0
446,0
445,0
444,0
443,1
442,1
441,0
440,0
439,0
438,1
437,0
436,0
435,0
434,1
433,1
432,1
431,1
430,0
429,1
428,0
427,0
426,0
425,1
424,0
423,0
422,0
421,0
420,1
419,0
418,1
417,0
416,0
415,0
414,0
413,0
412,0
411,1
410,1
409,1
408,1
407,1
406,1
405,0
404,0
403,0
402,0
401,0
400,0
399,1
398,0
397,0
396,0
395,0
394,0
393,0
392,0
391,0
390,0
389,0
388,0
387,0
386,0
385,0
384,0
383,0
382,0
381,0
380,0
379,0
378,0
377,0
376,0
375,0
374,0
373,0
372,0
371,0
370,0
369,1
368,0
367,0
366,0
365,0
364,1
363,0
362,0
361,0
360,0
359,0
358,1
357,1
356,1
355,0
354,0
353,0
352,0
351,0
350,1
349,0
348,0
347,0
346,0
345,0
344,1
343,1
342,1
341,1
340,1
339,1
338,1
337,1
336,1
335,0
334,0
333,1
332,1
331,0
330,0
329,0
328,0
327,0
326,0
325,1
324,0
323,0
322,1
321,1
320,1
319,1
318,1
317,1
316,0
315,1
314,1
313,0
312,1
311,1
310,1
309,1
308,1
307,1
306,0
305,1
304,1
303,1
302,1
301,1
300,0
299,0
298,1
297,1
296,1
295,0
294,1
293,1
292,1
291,1
290,1
289,1
288,1
287,1
286,1
285,1
284,1
283,1
282,0
281,0
280,0
279,0
278,0
277,0
276,0
275,0
274,1
273,0
272,0
271,0
270,0
269,0
268,0
267,0
266,1
265,1
264,1
263,0
262,1
261,0
260,0
259,0
258,0
257,0
256,0
255,0
254,0
253,0
252,1
251,1
250,0
249,0
248,0
247,0
246,1
245,0
244,0
243,1
242,1
241,0
240,1
239,0
238,1
237,0
236,0
235,1
234,1
233,1
232,1
231,1
230,0
229,0
228,0
227,0
226,0
225,0
224,0
223,0
222,1
221,0
220,0
219,0
218,0
217,0
216,0
215,0
214,0
213,0
212,0
211,0
210,1
209,1
208,1
207,1
206,1
205,1
204,1
203,0
202,0
201,0
200,1
199,0
198,0
197,0
196,0
195,0
194,0
193,1
192,1
191,0
190,0
189,1
188,0
187,0
186,0
185,0
184,0
183,0
182,0
181,0
180,1
179,1
178,1
177,1
176,1
175,1
174,0
173,0
172,0
171,0
170,0
169,0
168,0
167,0
166,1
165,1
164,1
163,1
162,1
161,1
160,0
159,0
158,0
157,1
156,1
155,1
154,1
153,1
152,0
151,1
150,0
149,1
148,0
147,0
146,0
145,0
144,0
143,0
142,0
141,0
140,0
139,0
138,0
137,0
136,0
135,0
134,0
133,0
132,0
131,0
130,0
129,0
128,0
127,0
126,0
125,0
124,0
123,0
122,0
121,0
120,0
119,0
118,0
117,1
116,0
115,0
114,1
113,0
112,0
111,0
110,0
109,0
108,0
107,0
106,1
105,1
104,0
103,0
102,0
101,0
100,0
99,0
98,1
97,0
96,0
95,0
94,0
93,0
92,0
91,0
90,1
89,0
88,1
87,0
86,0
85,0
84,1
83,0
82,0
81,0
80,0
79,0
78,0
77,1
76,0
75,1
74,0
73,0
72,1
71,1
70,0
69,0
68,0
67,0
66,0
65,0
64,0
63,0
62,0
61,0
60,0
59,0
58,0
57,0
56,0
55,0
54,1
53,1
52,0
51,0
50,0
49,0
48,0
47,0
46,0
45,0
44,1
43,0
42,0
41,0
40,0
39,1
38,1
37,1
36,0
35,0
34,0
33,0
32,1
31,0
30,0
29,0
28,0
27,0
26,1
25,1
24,1
23,1
22,1
21,1
20,1
19,0
18,0
17,0
16,0
15,1
14,0
13,1
12,1
11,1
10,1
9,1
8,0
7,0
6,1
5,0
4,0
3,0
2,0
1,0
