"planning_unit","number"
1,0
2,0
3,0
4,0
5,0
6,500
7,0
8,0
9,500
10,500
11,500
12,500
13,500
14,0
15,500
16,0
17,0
18,0
19,0
20,500
21,500
22,500
23,500
24,500
25,500
26,0
27,0
28,0
29,64
30,208
31,0
32,0
33,28
34,0
35,0
36,0
37,500
38,500
39,500
40,0
41,0
42,0
43,0
44,500
45,0
46,0
47,0
48,34
49,0
50,0
51,0
52,0
53,500
54,500
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,116
65,13
66,0
67,0
68,0
69,0
70,0
71,500
72,500
73,0
74,0
75,500
76,0
77,500
78,0
79,0
80,0
81,0
82,0
83,0
84,500
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,54
111,0
112,0
113,0
114,445
115,0
116,97
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,500
152,0
153,500
154,500
155,500
156,500
157,500
158,0
159,0
160,0
161,500
162,500
163,500
164,500
165,500
166,500
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,500
176,500
177,500
178,500
179,500
180,500
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,500
190,0
191,0
192,500
193,500
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,500
207,500
208,500
209,500
210,500
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,500
232,500
233,500
234,500
235,0
236,0
237,0
238,0
239,0
240,500
241,0
242,500
243,500
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,59
272,0
273,0
274,441
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,500
284,500
285,500
286,500
287,500
288,500
289,500
290,500
291,500
292,500
293,500
294,500
295,0
296,500
297,500
298,500
299,0
300,0
301,500
302,500
303,500
304,500
305,500
306,0
307,500
308,500
309,500
310,500
311,500
312,500
313,0
314,500
315,500
316,0
317,500
318,500
319,500
320,500
321,500
322,500
323,0
324,0
325,500
326,0
327,0
328,0
329,0
330,0
331,0
332,500
333,500
334,0
335,0
336,500
337,500
338,500
339,500
340,500
341,500
342,500
343,500
344,500
345,0
346,0
347,0
348,0
349,0
350,500
351,0
352,0
353,0
354,0
355,0
356,500
357,500
358,500
359,0
360,0
361,0
362,0
363,0
364,0
365,4
366,0
367,0
368,0
369,500
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,500
400,0
401,0
402,0
403,0
404,0
405,0
406,500
407,500
408,500
409,500
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,500
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,500
432,500
433,500
434,500
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,500
443,500
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,500
463,500
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,1
485,500
486,440
487,0
488,0
489,0
490,0
491,0
492,0
493,500
494,0
495,500
496,500
497,500
498,500
499,0
500,0
501,500
502,500
503,500
504,500
505,500
506,500
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,500
516,500
517,0
518,500
519,500
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,500
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,500
543,0
544,0
545,0
546,0
547,500
548,500
549,500
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,500
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,500
591,500
592,500
593,500
594,500
595,500
596,500
597,500
598,500
599,500
600,0
601,500
602,500
603,0
604,500
605,500
606,500
607,500
608,0
609,500
610,500
611,500
612,500
613,500
614,500
615,500
616,500
617,500
618,500
619,500
620,0
621,0
622,0
623,500
624,500
625,0
626,500
627,0
628,0
629,0
630,0
631,0
632,500
633,0
634,0
635,500
636,0
637,500
638,500
639,500
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,500
651,0
652,0
653,500
654,0
655,496
656,500
657,0
658,0
659,0
660,0
661,0
662,500
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
