species	pu	amount																				
203	271	1																				
203	273	1																				
203	274	1																				
203	71	1																				
205	343	1																				
205	357	1																				
205	649	1																				
205	651	1																				
205	339	1																				
206	157	1																				
206	166	1																				
206	178	1																				
206	175	1																				
206	177	1																				
206	161	1																				
206	417	1																				
206	419	1																				
206	420	1																				
206	427	1																				
206	176	1																				
206	311	1																				
206	312	1																				
206	317	1																				
206	319	1																				
206	506	1																				
206	516	1																				
206	308	1																				
206	501	1																				
206	610	1																				
206	71	1																				
208	656	1																				
208	47	1																				
208	494	1																				
208	75	1																				
208	301	1																				
208	304	1																				
208	332	1																				
208	161	1																				
208	307	1																				
208	309	1																				
208	311	1																				
208	312	1																				
208	308	1																				
208	610	1																				
208	243	1																				
208	431	1																				
208	616	1																				
208	9	1																				
208	37	1																				
208	242	1																				
208	442	1																				
208	549	1																				
208	493	1																				
208	18	1																				
208	45	1																				
208	446	1																				
208	17	1																				
209	21	1																				
209	23	1																				
209	339	1																				
209	4	1																				
209	7	1																				
209	22	1																				
209	398	1																				
209	434	1																				
209	399	1																				
209	24	1																				
209	653	1																				
209	343	1																				
209	2	1																				
209	5	1																				
209	25	1																				
209	357	1																				
209	359	1																				
209	360	1																				
209	361	1																				
209	362	1																				
209	363	1																				
209	364	1																				
216	166	1																				
216	175	1																				
216	177	1																				
216	178	1																				
216	161	1																				
216	506	1																				
217	311	1																				
217	317	1																				
217	318	1																				
218	234	1																				
220	57	1																				
220	70	1																				
220	71	1																				
220	79	1																				
220	307	1																				
220	308	1																				
220	310	1																				
220	319	1																				
220	610	1																				
220	612	1																				
220	613	1																				
220	616	1																				
221	365	1																				
221	655	1																				
222	350	1																				
222	637	1																				
222	639	1																				
222	352	1																				
223	308	1																				
223	71	1																				
224	308	1																				
224	319	1																				
225	399	1																				
225	398	1																				
225	663	1																				
228	86	1																				
228	348	1																				
228	656	1																				
228	349	1																				
228	369	1																				
228	408	1																				
228	365	1																				
228	243	1																				
228	339	1																				
228	340	1																				
228	9	1																				
228	625	1																				
228	626	1																				
228	639	1																				
228	353	1																				
228	630	1																				
228	637	1																				
228	638	1																				
228	87	1																				
228	88	1																				
228	344	1																				
228	345	1																				
228	347	1																				
228	354	1																				
228	356	1																				
228	370	1																				
228	406	1																				
228	632	1																				
228	634	1																				
228	635	1																				
228	346	1																				
228	633	1																				
228	14	1																				
228	46	1																				
228	367	1																				
228	368	1																				
228	13	1																				
228	15	1																				
228	16	1																				
228	341	1																				
228	350	1																				
228	352	1																				
228	628	1																				
228	631	1																				
228	466	1																				
228	636	1																				
228	640	1																				
228	644	1																				
228	645	1																				
228	431	1																				
228	643	1																				
228	12	1																				
228	10	1																				
228	11	1																				
228	432	1																				
230	301	1																				
230	302	1																				
230	604	1																				
230	605	1																				
230	416	1																				
230	161	1																				
230	308	1																				
